rank|spec|name|avance|prioridad|estado|estado_manual|estado_real|descripcion|por_que_ahora|por_que_no_ahora|beneficio|peligros|estimado|se_cruza_con|notes
59|SPEC-207|Host Analytics & KPIs — Business Dashboard in Web|-|-|in progress|in progress|En progreso: dashboard + 5 widgets + cabling shipeados (PRs #1504/#1621), Views como ranked list; PENDIENTE: Favorites widget redesign (deferred), daily-series chart (opcional), staging smoke con entitlements pagos|Dashboard de KPIs y analytics de negocio para hosts en la web: endpoints de agregacion + widgets.|Fase 3 del area host; sin datos de negocio los hosts no tienen razon para quedarse en la plataforma.|Depende de SPEC-205 y SPEC-206; sin spec.md; alta complejidad; requiere endpoints de agregacion que no existen aun.|Hosts ven vistas, ocupacion, ingresos y KPIs de su negocio directamente en la web.|Aggregation endpoints costosos si no se indexan bien; sin SPEC-159 (view tracking) los datos de vistas estan incompletos.|2-3 semanas|SPEC-205 (foundation), SPEC-206 (conversaciones), SPEC-159 (view tracking), SPEC-197 (admin view stats)|-
60|SPEC-208|Web Accommodation Editor — Full Property Management in Web|-|-|done|done|index staging: status=completed archived=True|Editor completo de alojamiento en la web para hosts: formularios de todas las secciones, carga de media, validacion y preview.|Ya hecha — shippeada ad-hoc via PRs #1509/#1513/#1516 y fixes de prod-readiness en #1528/#1529/#1533/#1540/#1534.|Ya hecha.|Hosts pueden crear y editar sus alojamientos completos desde la web sin pasar por el admin.|Bajo — archivada. Nota: se creo sin spec.md formal; el scope real fue mayor de lo planeado (protected media delete, geocoding proxy, nested fields).|Hecha|SPEC-205 (foundation), SPEC-204 (gallery migration), SPEC-145 (entitlements), SPEC-186 (image grid)|-
61|SPEC-209|Admin SSR memory leak + cheap healthcheck|-|-|done|done|index staging: status=completed archived=True|Fix del memory leak en SSR del admin (QZPayBilling inicializado por request) + endpoint /healthz barato para Coolify.|Ya hecha — el admin crecia a ~986 MB en 2 dias sin usuarios reales; el healthcheck disparaba SSR completo cada 30s.|Ya hecha.|Admin SSR estabiliza RSS; Coolify ya no tritura el servidor con renders completos en cada probe.|Bajo — archivada. T-012 (validacion staging RSS/heap) quedo como check operacional post-merge.|Hecha|SPEC-217 (billing E2E), SPEC-193 (billing go-live)|-
62|SPEC-210|Public Response Tier Enforcement — make schema-tier serialization mandatory and fail-closed so public endpoints can never leak undeclared DB columns|-|P1|backlog|backlog|index staging: status=draft archived=False|Hacer obligatorio el tier schema en todas las rutas publicas del API (fail-closed) y cerrar los 3 leaks conocidos de columnas internas.|Seguridad activa: columnas internas (richDescription, auditFields, source) se filtran en prod via rutas publicas; cada nueva columna DB reabre el riesgo.|Alto blast radius — requiere auditar ~86 rutas publicas y cambiar el route factory; sin el cambio de fabrica es riesgo continuo, pero el cambio puede romper rutas bien cableadas si el tipado no es perfecto.|Garantia estructural de que ninguna columna interna llega al wire publico; fail-closed = un dev no puede olvidarse sin que CI lo rechace.|Blast radius en route factory; si la validacion de passthrough falla en startup puede bajar el API en deploy; 86 rutas a auditar, una omision = regression silenciosa.|1-2 semanas|SPEC-187 (rich text, ya padecio este problema), SPEC-100 (transform type safety), SPEC-145 (entitlements)|-
63|SPEC-211|AI Monetization Model|-|-|done|done|index staging: status=completed archived=True|Rediseno del modelo de monetizacion de IA: Model C (capabilities config-driven + DB overrides), host paga por IA, ai_search gratis, techos de costo mandatorios.|Ya hecha — PR #1560 mergeado a staging; era la puerta para llevar SPEC-200 a produccion sin exposicion de costo abierto.|Ya hecha.|IA monetizada correctamente (host paga, turista no); capabilities propagadas automaticamente a suscriptores existentes; techos de costo evitan facturas sorpresa.|Bajo — archivada.|Hecha|SPEC-200 (chat), SPEC-173 (foundation), SPEC-145 (entitlements), SPEC-168 (plan management)|-
64|SPEC-212|Conversational AI Accommodation Search|-|-|done|done|index staging: status=completed archived=True|Busqueda conversacional multi-turno: el usuario refina filtros de alojamiento en un chat panel que acumula el estado de filtros turn a turn.|Ya hecha — PR #1577 mergeado a staging; mejora sobre SPEC-199 (single-shot) que tenia UX confusa y sin recovery.|Ya hecha.|Los turistas pueden refinar su busqueda de forma conversacional; la experiencia es mas intuitiva y tolerante al error.|Bajo — archivada. ai_search es gratis (sin cuota, solo rate-limit + ceiling); 2 llamadas LLM por turno es costo mayor que single-shot.|Hecha|SPEC-199 (mapper reutilizado), SPEC-200 (chat SSE/persistencia), SPEC-211 (monetizacion AI)|-
65|SPEC-213|Web + Admin pre-beta polish & bugfix batch|-|-|done|done|index staging: status=completed archived=True|Batch de 17 bugs y mejoras de polish pre-beta en web y admin: tipos de alojamiento nuevos, paginas rotas, i18n faltante, filtros con errores.|En progreso — defectos visibles de usuario que deben estar limpios antes del beta; ninguno requiere cambio arquitectonico.|No hay razon para no hacerlo; ya en ejecucion. Algunos items se extrajeron a sus propias specs (214, 215, 216).|Plataforma sin rough edges visibles al beta: paginas que cargan, labels traducidas, filtros que funcionan.|El batch cubre 17 items independientes; riesgo de regresion cruzada si se mergean en un solo PR grande. Mitigado con fases.|1-2 semanas|SPEC-214 (reglas AI), SPEC-215 (clima), SPEC-216 (owner superset)|-
66|SPEC-214|Editable AI prompt rules (DB-backed, per feature)|-|-|done|done|index staging: status=completed archived=True|Hacer editables desde el admin las reglas de los prompts de IA por feature (campo rules separado del content, persistido en DB).|Ya hecha — PR #1583 mergeado a staging; las reglas de guardrail estaban hardcodeadas y mezcladas con el content del prompt.|Ya hecha.|Admins pueden actualizar guardrails de IA sin deploy; separacion limpia entre 'como habla el asistente' y 'las reglas que debe obedecer'.|Bajo — archivada.|Hecha|SPEC-173 (ai-core), SPEC-211 (monetizacion), SPEC-212 (search), SPEC-200 (chat)|-
67|SPEC-215|Destination climate & live weather|-|-|in progress|backlog|index staging: status=approved archived=False|Datos de clima estacional por destino (DB, seed, editable en admin) + condiciones actuales en vivo via Open-Meteo (sin API key) en el sidebar del destino.|El placeholder de 'clima proximamente' ya existe en el sidebar; es contenido prometido al visitante que no se entrego; Open-Meteo es gratis y sin API key.|Alta complejidad (DB schema, seed, cron de actualizacion, admin editor, web display, llamada externa); no bloquea el beta pero es una mejora de contenido.|Visitantes ven mejor epoca para visitar y condiciones actuales directamente en el detalle del destino; diferenciador de contenido.|Dependencia de Open-Meteo (disponibilidad/rate-limit); si el cron falla los datos de clima quedan desactualizados; schema de clima estacional puede ser opinable.|1-2 semanas|SPEC-213 (batch polish donde se origino)|-
68|SPEC-216|Owner plans inherit tourist entitlements & limits (owner = superset of tourist)|-|-|done|done|index staging: status=completed archived=True|Hacer que todos los planes owner/complex sean superconjunto del plan tourist-VIP: agregar entitlements y limits de turista a todos los planes de propietario.|Ya hecha — PR #1579 mergeado a staging; los owners no podian guardar favoritos ni escribir resenas, lo cual es un bug funcional basico.|Ya hecha.|Owners tienen acceso a todas las features de turista VIP ademas de las propias; se auditaron y purgaron entitlements irrelevantes.|Bajo — archivada. Deploy requiere borrar filas purgadas de billing_entitlements (seeder insert-only).|Hecha|SPEC-145 (entitlements), SPEC-211 (monetizacion), SPEC-193 (billing go-live)|-
69|SPEC-217|Deterministic Billing for E2E — wire the QZPay test-control adapter for fault injection and produce real terminal subscription states so the gated paywall specs run in CI|-|P1|done|done|index staging: status=completed archived=True|Cablear el adapter de test-control de QZPay para inyeccion de fallas determinista en CI, y producir estados terminales reales de suscripcion para que los specs de paywall corran en CI.|Ya hecha — PR #1586 mergeado a staging; 6 specs P0 de billing estaban permanentemente skipadoss en CI sin cobertura determinista.|Ya hecha.|Los specs de paywall (lapsed-host write-blocking, fault-injection) corren deterministas en CI; se elimina dependencia de smoke manual en staging para esos flujos.|Bajo — archivada. Nota: failNext scoped por ownerId resuelto; T-012 host-07d diferido a SPEC-221.|Hecha|SPEC-221 (hardening follow-up), SPEC-143 (billing testing), SPEC-092|-
70|SPEC-218|astro check in web CI — load the App.Locals augmentation, clean .astro type errors, gate typecheck|-|P2|done|done|index staging: status=completed archived=True|Agregar astro check al CI de web para que los errores de tipo en frontmatter .astro se detecten, corrigiendo el tsconfig para que env.d.ts sea parte del programa TS.|Ya hecha — PR #1578 mergeado a staging; 185 errores de tipo en .astro archivos eran invisibles a CI, causando bugs de runtime como W6 y W8.|Ya hecha.|CI ahora captura errores de tipo en paginas .astro antes de que lleguen a produccion.|Bajo — archivada.|Hecha|SPEC-213 (bugs W6/W8 que motivaron esto)|-
71|SPEC-219|Dependabot CI Hardening & Dependency Bump Merge Strategy|-|-|done|done|index staging: status=completed archived=True|Hacer que los PRs de Dependabot pasen CI confiablemente (build resiliente sin secrets) + estrategia documentada de merge para bumps de dependencias.|En progreso — PRs de Dependabot #1548 y #1570 fallan CI bloqueando actualizaciones rutinarias; acumulacion de deuda de seguridad (53 alertas Dependabot).|El fix de CI es bajo riesgo; la estrategia de merge es proceso y no bloquea codigo de negocio. El unico riesgo es que el workaround para secrets cambie el comportamiento de validacion en PRs normales.|Dependabot PRs de patch/minor fluyen sin intervencion manual; majors como Zod 4.4 y TanStack Router quedan aislados en sus propios specs.|Si el bypass de secrets en builds de Dependabot se extiende a PRs normales, env var validation queda debilitada en CI.|3-5 dias|SPEC-220 (promotion hardening, depende del ignore en main), SPEC-132 (Zod 4 migration), SPEC-045 (Vite7/TanStack)|-
72|SPEC-220|Staging→Main Promotion Hardening — clear CodeQL security debt blocking the promotion|-|-|done|in progress|index staging: status=completed archived=True|Limpiar la deuda de CodeQL que bloquea la promocion staging a main: inventariar findings, fixear los reales, dismissar los falsos positivos.|CodeQL solo corre contra main, no staging; la promocion de 253 commits acumulo findings invisibles (ReDoS, DOM-XSS) que bloquean el merge.|Bloquea la promocion staging-main pero no bloquea el trabajo en staging; bajo si la decision es diferir la promocion.|Permite promover staging a main; elimina deuda de seguridad acumulada; define si poner CodeQL en staging para evitar reacumulacion.|Findings reales de ReDoS/XSS requieren cambios de codigo en staging (riesgo de regresion); si los findings siguen apareciendo en capas la resolucion puede extenderse.|3-7 dias|SPEC-219 (Dependabot ignore llega a main solo via esta promocion), SPEC-180 (Sentry)|-
73|SPEC-221|QZPay Test-Control Hardening & Deferred E2E Coverage|-|-|done|done|index staging: status=completed archived=True|Hardening del adapter QZPay test-control: scopear delayNextQueue por ownerId y hacer extractScope extensible a todas las operaciones controlables.|Ya hecha — PR #1602 mergeado a staging; F-1 y F-2 shippeados; F-3 (host-07d) refactorizado en SPEC-227.|Ya hecha.|Test-control no tiene contaminacion cross-worker latente en el delay queue; extractScope es extensible para futuras operaciones.|Bajo — archivada.|Hecha|SPEC-217 (origen), SPEC-227 (F-3 refactorizado ahi)|-
74|SPEC-227|Billing Subscription Observability — trial↔accommodation↔owner linkage logging + creation-time MP reference enrichment|-|-|done|done|index staging: status=completed archived=True|Logging estructurado + contexto Sentry que vincula subscriptionId con accommodationId y ownerId al publicar, mas enriquecimiento del external_reference de MercadoPago en la creacion.|En progreso — cuando algo falla con la suscripcion de trial de un host, hoy hay que hacer joins manuales para trazar el problema; el costo es cero llamadas extra a MP.|Baja urgencia si no hay incidents activos de billing; el beneficio es debug, no funcionalidad de usuario.|Cualquier ID (subscriptionId/accommodationId/ownerId/checkoutId) en logs o Sentry expone el contexto completo de la publicacion; trazabilidad sin joins manuales.|Bajo — no toca el hot path de publish (sin latencia adicional); solo agrega log lines y breadcrumbs.|1-2 dias|SPEC-221 (origen en F-3), SPEC-217 (billing E2E), SPEC-180 (Sentry hardening, conviene tener primero), SPEC-143 (billing testing)|-
75|SPEC-222|Accommodation import from URL|-|-|backlog|backlog|index staging: status=draft archived=False|Importar datos de un alojamiento desde una URL externa (Booking/Airbnb) para pre-llenar el formulario de creacion/edicion, con JSON-LD/OG parsing primario y fallback AI.|Reduce la friccion del onboarding para hosts que ya tienen su propiedad listada en otro lado; el formulario de creacion actual es manual y repetitivo.|Alta complejidad (scraping, JSON-LD parsing, fallback AI con generate-object, rate limiting por abuso); no es bloqueante para el beta; depende de ai-core estable.|Hosts pueden pre-llenar la mayoria del formulario con un click; reduce tiempo de alta de listado y datos de mejor calidad.|Scraping puede fallar o violar ToS de Booking/Airbnb; datos extraidos pueden ser incorrectos y el host los acepta sin revisar bien; abuso via rate-limit.|1-2 semanas|SPEC-173 (ai-core, para el fallback), SPEC-208 (accommodation editor), SPEC-205 (host foundation)|-
76|SPEC-223|Create post from data with AI|-|-|backlog|backlog|index staging: status=draft archived=False|Generar borradores de posts con IA desde el admin: el editor da tema + puntos clave y recibe titulo, resumen y contenido streameado para revision humana.|La infraestructura AI esta madura (SPEC-173, SPEC-214); el editor necesita herramientas para reducir tiempo de creacion de contenido editorial.|No bloquea el beta ni el go-live de billing; es una mejora de productividad para el equipo editorial; la demanda real no esta probada aun.|Editores generan borradores en segundos; el workload editorial (noticias, guias, cobertura de eventos) se reduce significativamente.|Contenido generado sin revision puede publicarse con errores factuales; el pipeline de moderacion/injection-guard debe estar bien configurado; costo de LLM por draft.|1 semana|SPEC-173 (ai-core), SPEC-214 (reglas editables), SPEC-211 (ceilings de costo)|-
77|SPEC-224|Admin PostHog analytics dashboard|-|-|backlog|backlog|index staging: status=draft archived=False|Widget de analytics PostHog en el dashboard admin: proxy server-side a la Query API de PostHog para mostrar pageviews, top events y DAU/WAU.|PostHog ya esta instrumentado en web y admin para captura; no hay lectura de vuelta; los admins deben salir de la plataforma para ver metricas.|Nice-to-have; no bloquea operacion del producto; requiere HOSPEDA_POSTHOG_PERSONAL_KEY nueva (env var, deploy); es el patron que SPEC-225 y 226 comparten y conviene hacerlo junto.|Admins ven pageviews y eventos clave sin salir del panel; visibilidad de uso del producto centralizada.|Personal token de PostHog con scope de query en secrets de prod; rate limit de 3600 req/h si el TTL de cache es muy corto; widget sin datos rompe el dashboard si no degrada bien.|3-5 dias|SPEC-225 (Sentry dashboard, patron compartido), SPEC-226 (Brevo dashboard, patron compartido), SPEC-163 (antecedente de la idea)|-
78|SPEC-225|Admin Sentry errors dashboard|-|-|backlog|backlog|index staging: status=draft archived=False|Widget de errores Sentry en el dashboard admin (SUPER_ADMIN): proxy server-side a la Sentry Issues API para mostrar issues recientes y conteo de 24h.|El placeholder DeferredWidget en Card H ya existe en el dashboard con comentarios explicitos apuntando a este spec; Sentry es write-only hoy.|No urgente para el beta; complemento de SPEC-180 (capture hardening) que conviene tener primero; requiere nuevos env vars (SENTRY_API_TOKEN, ORG_SLUG, PROJECT_SLUG).|SUPER_ADMIN ve errores criticos de produccion sin abrir Sentry; el DeferredWidget queda resuelto.|Token de lectura de Sentry en prod secrets; si la API de Sentry cambia o el token expira el widget se rompe silenciosamente sin degradacion.|3-5 dias|SPEC-224 (PostHog, patron compartido), SPEC-226 (Brevo, patron compartido), SPEC-180 (Sentry capture, distinto pero relacionado), SPEC-163 (antecedente)|-
79|SPEC-226|Admin Brevo email/newsletter dashboard|-|-|backlog|backlog|index staging: status=draft archived=False|Widget de stats de email/newsletter Brevo en el dashboard admin: proxy server-side a la API de Brevo para mostrar enviados/rebotados, suscriptores y campanas recientes.|Brevo ya esta integrado para envio y el HOSPEDA_EMAIL_API_KEY ya existe; los admins no pueden ver metricas de email sin entrar a Brevo.|Nice-to-have; no bloquea nada; el valor es mayor si se hace junto con SPEC-224/225 para compartir el helper external-metrics-proxy.|Admins ven metricas de entregabilidad de email sin salir del panel; rebotes y campanas en un solo lugar.|Si el TTL de cache (15 min) es muy largo los datos no reflejan envios recientes; el rate-limit de Brevo puede ser bajo para usos intensivos del dashboard.|3-5 dias|SPEC-224 (PostHog, patron compartido), SPEC-225 (Sentry, patron compartido), SPEC-160 (newsletter engagement, relacionado)|-
80|SPEC-228|Web loading-states consistency & coverage|-|-|backlog|backlog|index staging: status=draft archived=False|Consistencia y cobertura de estados de carga en la web: skeletons/spinners uniformes en listados, detalle, mapa, chat IA y formularios; una auditoria UX detecto 26+ gaps.|Auditoria UX de 3 agentes encontro 26+ pantallas sin loading-state coherente; impacta la percepcion de calidad pre-beta.|No bloquea funcionalidad; es pulido UX y conviene agruparlo en una sola pasada.|Experiencia de carga consistente en toda la web; menos saltos de layout y pantallas en blanco.|Cambios transversales en muchos componentes; riesgo de regresiones visuales menores.|3-5 dias|SPEC-212 (dashboard layout), SPEC-200 (chat IA)|-
81|SPEC-229|Accommodation partial-update data loss|done|P1|done|done|index staging: status=completed archived=True (PR #1632)|Perdida de datos en updates parciales de accommodation: objetos JSONB parciales y shallow-merge de columnas anidadas sobrescriben datos existentes no enviados.|Es un bug de perdida de datos (P1 en index); afecta integridad al editar accommodations.|-|Updates parciales seguros sin perder campos no enviados en JSONB ni columnas anidadas.|Tocar la capa de merge de updates puede afectar todos los flujos de edicion si se rompe.|2-3 dias|-|P1 en index (bug data-loss)
82|SPEC-231|TypeScript 6 Migration|0/4|-|backlog|backlog|index staging: status=draft archived=False|-|-|-|-|-|-|SPEC-232, SPEC-233|-
83|SPEC-232|Biome 2 Migration|0/4|-|backlog|backlog|index staging: status=draft archived=False|-|-|-|-|-|-|SPEC-231, SPEC-233|-
84|SPEC-233|Vitest 4 Migration|0/4|-|backlog|backlog|index staging: status=draft archived=False|-|-|-|-|-|-|SPEC-188, SPEC-045, SPEC-231, SPEC-232|-
85|SPEC-234|TanStack Router family bump — unblock the production-minor-patch Dependabot group|0/4|-|backlog|backlog|index staging: status=draft archived=False|-|-|-|-|-|-|SPEC-219|-
86|SPEC-237|External-platform reviews & reputation on accommodation pages|-|-|backlog|backlog|index staging: status=draft archived=False|Mostrar la reputacion externa del alojamiento en su page detail: snippets reales de Google via Places API + solo agregados (rating+count+link) para Booking/Airbnb, claramente etiquetado. Entidad separada (2 tablas nuevas) de las reviews internas; nunca contamina el averageRating interno.|El dueno muestra prueba social de otras plataformas en su listado; refuerza la confianza pre-reserva.|Alta complejidad (Places API + display rules + TTL, agregados sin texto para Booking/Airbnb, cron + rate-limit del boton, toggles global y por plataforma); legal/ToS a revisar; no bloquea el beta.|Prueba social multiplataforma en el detail, links a los listings externos, y resenas reales de Google donde es legitimo.|Republicar texto de reviews de Booking/Airbnb es copyright/ToS (mitigado: solo agregados, sin texto); limite de cache del texto de Google; SSRF en el fetch de agregados.|1-2 semanas|SPEC-222 (import, comparte safeExternalFetch/Apify/Places), SPEC-173 (ai-core), SPEC-208 (accommodation editor)|Feature de reviews diferida desde SPEC-222
87|SPEC-235|AI Content Translation for Multi-Language Listings|-|-|done|done|renumbered from SPEC-212; index staging: status=completed archived=True|Traduccion con IA del contenido de alojamientos/destinos/eventos/posts a en/pt: migracion i18n + servicio de traduccion + TranslationSection admin + panel host web + SEO localizado por idioma.|Ya hecha — PRs #1581/#1623/#1652 mergeados a staging.|Ya hecha.|Listings multi-idioma reales; hosts/admins generan traducciones desde el working locale, solo los faltantes; SEO correcto por idioma.|Bajo — archivada.|Hecha|SPEC-173 (ai-core); SPEC-198 (text improve); SPEC-172 (i18n amenities); SPEC-212 (search, colision de numero resuelta)|Renumerada de SPEC-212 por colision con conversational-ai-search.
88|SPEC-236|Coverage ratchet-up — restore per-package thresholds to the 90% target|3/3|-|done|backlog|index staging: status=completed archived=True|-|-|-|-|-|-|SPEC-188, SPEC-233|-
89|SPEC-230|Soft-delete filtering in the service list() path — make BaseCrudService.list exclude soft-deleted rows by default so protected list endpoints stop returning deleted records|-|P2|backlog|backlog|index staging: status=draft archived=False|-|-|-|-|-|-|-|-
90|SPEC-238|Reduce apps/api per-file test cold-import overhead (~9% suite speedup)|-|P3|backlog|backlog|index staging: status=draft archived=False|-|-|-|-|-|-|-|-
